participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.a1,player.a2,player.a3,player.a4,player.a5,player.a6,player.a7,player.a8,player.a9,player.a10,player.a11,player.b1,player.b2,player.b3,player.b4,player.b5,player.b6,player.b7,player.b8,player.b9,player.b10,player.b11,player.training,player.game_type,player.x1G,player.x2G,player.unknown_prob_G,player.t1G,player.t2G,player.x1B,player.x2B,player.unknown_prob_B,player.t1B,player.t2B,player.payoff,group.id_in_subsession,subsession.round_number,subsession.training_round,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,risky_setup_2,3.5,0.1,0,10,6,3.6,0,0,12,5,0,1,31,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,3,2,2,2,2,3,4,4,4,4,6,2,2,2,2,2,3,4,4,4,4,5,,risky_setup_2,1.5,0.5,0,6,2,1.6,0.4,0,8,1,0,1,32,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,2,1,1,1,1,3,2,2,2,2,3,2,1,1,1,1,3,2,2,2,2,4,,risky_setup_2,2,0.4,0,7,3,2.1,0.3,0,9,2,0,1,33,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,3,2,2,2,2,4,5,5,5,5,4,2,2,2,1,1,4,5,5,5,5,5,,risky_setup_2,2.5,0.3,0,8,4,2.6,0.2,0,10,3,0,1,34,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,5,2,2,2,2,4,5,4,5,5,4,4,2,2,2,1,4,4,5,5,5,3,,risky_setup_2,3,0.2,0,9,5,3.1,0.1,0,11,4,0,1,35,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,3,0,0,0,0,3,2,3,3,4,4,2,0,0,0,0,0,0,0,2,0,0,,risky_setup_2,3.5,0.1,0,10,6,3.6,0,0,12,5,0,1,36,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,5,4,4,4,4,5,5,5,5,,,,,,,,,,,,,,,risky_setup_3_ambi,1.5,0.5,0.2,6,2,0,0,0,0,0,0,1,37,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,risky_setup_3_ambi,2,0.4,0.2,7,3,0,0,0,0,0,0,1,38,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,5,3,3,3,4,5,5,5,5,,,,,,,,,,,,,,,risky_setup_3_ambi,1.5,0.5,0.2,6,2,0,0,0,0,0,0,1,39,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,4,3,3,3,5,4,4,4,4,,,,,,,,,,,,,,,risky_setup_3_ambi,2,0.4,0.2,7,3,0,0,0,0,0,0,1,40,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,3,4,4,4,5,4,4,4,5,,,,,,,,,,,,,,,risky_setup_3_ambi,2.5,0.3,0.2,8,4,0,0,0,0,0,0,1,41,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,0,0,0,0,3,4,4,4,5,,,,,,,,,,,,,,,risky_setup_3_ambi,3,0.2,0.2,9,5,0,0,0,0,0,0,1,42,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,0,2,2,2,4,5,4,2,2,,,,,,,,,,,,,,,risky_setup_3_ambi,3.5,0.1,0.2,10,6,0,0,0,0,0,0,1,43,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,2,3,3,3,5,4,4,4,4,,,,,,,,,,,,,,,risky_setup_3_ambi,1.5,0.5,0.2,6,2,0,0,0,0,0,0,1,44,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,2,3,3,3,3,4,4,4,5,,,,,,,,,,,,,,,risky_setup_3_ambi,2,0.4,0.2,7,3,0,0,0,0,0,0,1,45,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,3,1,1,1,1,2,2,2,3,,,,,,,,,,,,,,,risky_setup_3_ambi,2.5,0.3,0.2,8,4,0,0,0,0,0,0,1,46,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,3,1,1,1,3,2,2,2,3,,,,,,,,,,,,,,,risky_setup_3_ambi,3,0.2,0.2,9,5,0,0,0,0,0,0,1,47,,zev7dscf,,,,,,0
1,fjc9hk6g,KGXAW,0,533,538,bi_postquestionnaire_simple,Questionnaire,2020-08-02 09:18:45.951774+00:00,1,,,0,1,3,1,1,1,2,3,3,3,3,,,,,,,,,,,,,,,risky_setup_3_ambi,3.5,0.1,0.2,10,6,0,0,0,0,0,0,1,48,,zev7dscf,,,,,,0
